392
1|0
2|68
3|363
4|1168
5|2884
6|6038
7|11287
8|19423
9|31378
10|48229
11|71202
12|101677
13|141193
14|191454
15|254330
16|331867
17|426288
18|540000
19|675596
20|835862
21|920357
22|1015431
23|1123336
24|1246808
25|1389235
26|1554904
27|1749413
28|1980499
29|2260321
30|2634751
31|2844287
32|3093068
33|3389496
34|3744042
35|4169902
36|4683988
37|5308556
38|6074376
39|7029248
40|8342182
41|8718976
42|9289560
43|9991807
44|10856075
45|11920512
46|13233701
47|14858961
48|16882633
49|19436426
50|22977080
51|24605660
52|26635948
53|29161263
54|32298229
55|36193556
56|41033917
57|47093035
58|54711546
59|64407353
60|77947292
61|85775204
62|95595386
63|107869713
64|123174171
65|142229446
66|165944812
67|195677269
68|233072222
69|280603594
70|335732975
71|383597045
72|442752112
73|516018015
74|606913902
75|719832095
76|860289228
77|1035327669
78|1259458516
79|1534688053
80|1909610088
81|2342785974
82|2957136483
83|3673332187
84|4509044914
85|5486208614
86|10985069426
87|19192594397
88|33533938399
89|43503026615
90|61895085913
91|84465260437
92|112359133751
93|146853833970
94|189558054903
95|242517343994
96|343490462139
97|538901012155
98|923857608218
99|1701666675991
